"CODMUNRES","n_nasc_vivos","ANONASC","Cardiopatias","Membros","Neural","Fendas","Microcefalia","nome","latitude","longitude"
"430003",73,2014,0,0,0,0,0,"Aceguá",-31.8665,-54.1615
"430005",48,2014,0,0,0,0,0,"Água Santa",-28.1672,-52.031
"430010",162,2014,0,3,0,1,0,"Agudo",-29.6447,-53.2515
"430020",61,2014,0,1,0,0,0,"Ajuricaba",-28.2342,-53.7757
"430030",59,2014,0,0,0,0,0,"Alecrim",-27.6579,-54.7649
"430040",925,2014,1,1,0,1,0,"Alegrete",-29.7902,-55.7949
"430045",37,2014,0,0,0,0,0,"Alegria",-27.8345,-54.0557
"430047",22,2014,0,0,0,0,0,"Almirante Tamandaré do Sul",-28.1149,-52.9142
"430050",72,2014,0,0,0,0,0,"Alpestre",-27.2502,-53.0341
"430055",14,2014,0,0,0,0,0,"Alto Alegre",-28.7769,-52.9893
"430057",26,2014,0,0,0,0,0,"Alto Feliz",-29.3919,-51.3123
"430060",3419,2014,7,10,2,6,0,"Alvorada",-29.9914,-51.0809
"430063",61,2014,1,1,0,0,0,"Amaral Ferrador",-30.8756,-52.2509
"430064",73,2014,0,0,0,0,0,"Ametista do Sul",-27.3607,-53.183
"430066",11,2014,0,0,0,0,0,"André da Rocha",-28.6283,-51.5797
"430070",41,2014,0,0,0,0,0,"Anta Gorda",-28.9698,-52.0102
"430080",144,2014,0,0,0,0,0,"Antônio Prado",-28.8565,-51.2883
"430085",26,2014,0,0,0,0,0,"Arambaré",-30.9092,-51.5046
"430087",108,2014,0,1,0,0,0,"Araricá",-29.6168,-50.9291
"430090",54,2014,0,0,0,0,0,"Aratiba",-27.3978,-52.2975
"430100",273,2014,0,0,0,0,0,"Arroio do Meio",-29.4014,-51.9557
"430105",103,2014,0,1,0,0,0,"Arroio do Sal",-29.5439,-49.8895
"430107",16,2014,0,0,0,0,0,"Arroio do Padre",-31.4389,-52.4246
"430110",177,2014,0,0,0,0,0,"Arroio dos Ratos",-30.0875,-51.7275
"430120",139,2014,0,0,0,0,0,"Arroio do Tigre",-29.3348,-53.0966
"430130",201,2014,0,0,0,0,0,"Arroio Grande",-32.2327,-53.0862
"430140",110,2014,0,0,0,0,0,"Arvorezinha",-28.8737,-52.1781
